api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url
41-133-10036,"0000430","36.38608300000004","-85.31444399999998",Tennessee,Overton,,BUFORD & REESER #1,"Bufford, Bobby",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-10036,https://tdeconline.tn.gov/oilgaswells/
41-133-10037,"0000492","36.38058300000006","-85.16530599999999",Tennessee,Overton,,VAUGHN CHARLES J #1,"Gitz, Monk and Associates",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-10037,https://tdeconline.tn.gov/oilgaswells/
41-133-10038,"0000402","36.27563900000007","-85.42586099999994",Tennessee,Overton,,BILBREY ROY #1,Gossett Oil Company,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-10038,https://tdeconline.tn.gov/oilgaswells/
41-133-00144,,"36.23277800000005","-85.37141699999995",Tennessee,Overton,,DOUGLAS #8,TENNESSEE OIL & GAS COMPANY,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-00144,https://tdeconline.tn.gov/oilgaswells/
41-133-10039,"0000403","36.27508300000005","-85.42480599999999",Tennessee,Overton,,BILBREY ROY #2,Gossett Oil Company,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-10039,https://tdeconline.tn.gov/oilgaswells/
41-133-21703,"0009721","36.39441700000003","-85.28133299999996",Tennessee,Overton,,Jerry Garrett #29,Target Oil & Gas Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21703,https://tdeconline.tn.gov/oilgaswells/
41-133-21704,"0009722","36.427028000000064","-85.17002799999995",Tennessee,Overton,,Jimmy Young #1TW,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21704,https://tdeconline.tn.gov/oilgaswells/
41-133-21705,"0009723","36.42194400000005","-85.16455599999995",Tennessee,Overton,,Ostil & Freddie Paul #13,Basin Oil & Gas Corp,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21705,https://tdeconline.tn.gov/oilgaswells/
41-133-21706,"0009725","36.43944400000004","-85.19305599999996",Tennessee,Overton,,ALLETA SMITH #1,Robbins-Davidson Oil & Gas,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21706,https://tdeconline.tn.gov/oilgaswells/
41-133-21707,"0009726","36.37783300000007","-85.17763899999994",Tennessee,Overton,,Gary Allen #30,Target Oil & Gas Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21707,https://tdeconline.tn.gov/oilgaswells/
