Latitude,Longitude,Project,Status,LocationID,API,geometry
39.76884,-108.60319,Lasso Bond Claim,_Federal,315538,103-08673,POINT (191360.86436273973 4408313.799013383)
39.76256,-108.60896,Lasso Bond Claim,_Federal,315543,103-08682,POINT (190838.3731866589 4407636.48525849)
39.87685,-108.65883,Lasso Bond Claim,_Federal,315563,103-08718,POINT (187084.8251910846 4420499.432285081)
39.96254,-108.9725,Northstar Gas Bond Claim,_Federal,315578,103-08749,POINT (160675.35305262264 4431161.543825411)
39.81891,-108.6374,Lasso Bond Claim,_Federal,315628,103-08857,POINT (188655.99889510183 4413991.552874884)
40.039206,-108.916296,Northstar Gas Bond Claim,_Federal,315631,103-08864,POINT (165852.14153457916 4439461.523573813)
40.046226,-108.936167,Northstar Gas Bond Claim,_Federal,315680,103-08999,POINT (164190.7444089015 4440315.87884908)
40.145763,-108.223394,31 Operating Bond Claim,_Federal,315975,103-09512,POINT (225413.29769854865 4448918.4668398835)
40.133556,-108.294384,31 Operating Bond Claim,_Federal,316056,103-09686,POINT (219314.56113548286 4447785.241047851)
40.123044,-108.268002,31 Operating Bond Claim,_Federal,316104,103-09792,POINT (221519.80671232863 4446535.082419773)
40.1003,-108.281004,31 Operating Bond Claim,_Federal,316187,,POINT (220318.3800634478 4444050.820725574)
40.081371,-108.233165,31 Operating Bond Claim,_Federal,316223,103-10047,POINT (224320.6008404307 4441799.768460047)
40.117182,-108.210002,31 Operating Bond Claim,_Federal,316263,103-10124,POINT (226439.60180513537 4445703.988545753)
40.13673,-108.200036,31 Operating Bond Claim,_Federal,316306,103-10209,POINT (227367.26901004778 4447843.601173656)
40.128729,-108.200335,31 Operating Bond Claim,_Federal,316311,103-10219,POINT (227309.77619876602 4446956.22979642)
40.107542,-108.164355,31 Operating Bond Claim,_Federal,316312,103-10221,POINT (230292.2564782016 4444494.1390874535)
40.154514,-108.224726,31 Operating Bond Claim,_Federal,316318,103-10234,POINT (225335.10592770204 4449894.150852416)
40.114431,-108.299654,31 Operating Bond Claim,_Federal,316325,103-10253,POINT (218786.57422939967 4445678.58161053)
39.7847,-108.66725,Lasso Bond Claim,_Federal,316346,103-10321,POINT (185944.51518011035 4410297.756587949)
40.136842,-108.190553,31 Operating Bond Claim,_Federal,316584,103-10898,POINT (228175.779339774 4447826.956150758)
40.1441,-108.19576,31 Operating Bond Claim,_Federal,316585,103-10899,POINT (227761.08691420627 4448648.71286249)
40.144996,-108.203575,31 Operating Bond Claim,_Federal,316588,103-10902,POINT (227098.8181053758 4448772.187612514)
40.09592,-108.91276,Lasso Bond Claim,_Federal,316725,103-60008,POINT (166431.17396237515 4445745.546024707)
40.07175,-108.77228,Lasso Bond Claim,_Federal,316726,103-60014,POINT (178296.39597315603 4442543.658745178)
39.57024,-108.80238,Northstar Gas Bond Claim,_Federal,322394,045-06162,POINT (173358.8176985744 4386969.88229436)
39.519554,-108.835039,Northstar Gas Bond Claim,_Federal,322478,045-06345,POINT (170312.28828136332 4381461.598014963)
39.52063,-108.90775,Lasso Bond Claim,_Federal,322492,045-06380,POINT (164064.8799473651 4381850.320851416)
39.573493,-108.820909,Northstar Gas Bond Claim,_Federal,322516,045-06436,POINT (171782.01537300233 4387398.633272886)
40.103952,-108.205508,31 Operating Bond Claim,_Federal,336396,103-10162,POINT (226769.65592620522 4444221.332674863)
40.114899,-108.209814,31 Operating Bond Claim,_Federal,336445,103-10137,POINT (226446.46733988822 4445449.945594736)
39.398585,-108.828917,Denver Fed #3A,_Federal,382645,045-05033,POINT (170267.4551047017 4368008.2318608565)
37.326072,-108.364854,Beard-Federal #2,_Federal,392976,,POINT (201846.06992084743 4136357.6535217953)
40.07514,-108.7827,Lasso Bond Claim,_Federal,396860,103-05337,POINT (177423.56761048356 4442957.841500878)
40.136765,-108.948738,Unknown Operators - Rangely Field,_Federal,397016,103-05776,POINT (163564.8874199101 4450416.6511190245)
40.138105,-108.947958,Unknown Operators - Rangely Field,_Federal,397023,103-05789,POINT (163637.98130647402 4450562.484047504)
40.07302,-108.81455,Unknown Operators - Rangely Field,_Federal,397205,103-12447,POINT (174696.71017062472 4442838.57829838)
40.073346,-108.809864,Lubauer Petroleum - Rangely Field,_Federal,399041,103-01171,POINT (175097.98370534828 4442857.6285368595)
40.072426,-108.809753,Unknown Operators - Rangely Field,_Federal,399042,103-40298,POINT (175103.07296444563 4442755.071391773)
40.07112,-108.80064,Unknown Operators - Rangely Field,_Federal,399049,103-12439,POINT (175874.227733562 4442576.777062389)
40.078126,-108.769622,Husky Oil Federal Bond Claim,_Federal,399056,103-40358,POINT (178553.15882950334 4443241.985391551)
40.94426,-107.25304,Entek GRB Bond Claim,_Federal,399448,,POINT (310349.352602114 4535013.6847878685)
40.986753,-103.638051,Nebraska Drillers - Government 1,_Federal,405604,123-05993,POINT (614566.4551786556 4538179.697031996)
40.627336,-103.852115,Colorado Federal #2,_Federal,408038,,POINT (597081.5781284713 4498022.429199832)
40.70227,-102.18061,Yates Bond Claim,_Federal,425444,095-06364,POINT (738193.3283102937 4509530.510041617)
40.69955,-102.18012,Yates Bond Claim,_Federal,425445,095-06362,POINT (738244.4304384162 4509229.8544345405)
40.6904,-102.17859,Yates Bond Claim,_Federal,425495,095-06365,POINT (738406.3560399459 4508218.138668005)
40.69668,-102.17558,Yates Bond Claim,_Federal,425591,095-06368,POINT (738638.3010878174 4508923.547029772)
40.07382,-108.809901,Unknown Operators - Rangely Field,_Federal,475034,103-01169,POINT (175097.08390061813 4442910.393940565)
40.091041,-108.85259,Unknown Operators - Rangely Field,_Federal,479216,103-12492,POINT (171538.5993781145 4444979.517478182)
40.08267,-108.87847,Unknown Operators - Rangely Field,_Federal,479217,103-12493,POINT (169290.9854259683 4444146.077429697)
40.07087,-108.77291,Lasso Bond Claim,_Federal,481293,,POINT (178238.5076511568 4442448.230810079)
40.10226,-108.21501,31 Operating Bond Claim,_Planned,103718,,POINT (225952.78389176668 4444062.75192538)
39.84678,-103.00804,Smith Energy Corp Bond Claim,_Planned,104569,,POINT (670418.7497741289 4412650.068389418)
40.784329,-103.216879,Hondo - Padroni West Pits,_Planned,116258,,POINT (650454.5736301438 4516345.53714629)
40.778214,-103.220965,Hondo - Padroni West Pits,_Planned,116260,,POINT (650123.5644841641 4515659.688040819)
40.785627,-103.220836,J W Richerson Pit,_Planned,116262,,POINT (650117.7537162001 4516482.84999209)
40.671041,-103.34895,Benchmark Energy Bond Claim,_Planned,116315,,POINT (639546.84841483 4503551.07781229)
39.784559,-103.158761,Churchill Bond Claim,_Planned,117615,,POINT (657665.3968727072 4405467.219728773)
40.325253,-104.717761,Churchill Bond Claim,_Planned,118264,,POINT (523977.15719862364 4463896.353682482)
40.777235,-103.217395,Arco - Sindt #4 Lease,_Planned,118951,,POINT (650427.0419371017 4515557.123895228)
40.25587,-102.2194,Omimex Petroleum Bond Claim,_Planned,302960,125-02377,POINT (736478.3857825384 4459866.554439631)
40.22354,-102.2073,Omimex Petroleum Bond Claim,_Planned,302961,125-02378,POINT (737620.6765280964 4456309.750959501)
39.649916,-102.132093,Hutton Bond Claim,_Planned,303165,125-06459,POINT (746068.5341752616 4392833.952930853)
39.579036,-102.151223,Hutton Bond Claim,_Planned,303175,125-06472,POINT (744676.565569766 4384913.353757995)
40.22889,-102.67352,Petron Bond Claim,_Planned,303178,,POINT (697932.1084554773 4455758.364371959)
40.19394,-102.57903,Petron Bond Claim,_Planned,303284,,POINT (706077.8120824314 4452093.774982925)
40.33449,-102.49702,Petron Bond Claim,_Planned,303398,,POINT (712618.5855908417 4467890.372387245)
40.06274,-102.36755,Petron Bond Claim,_Planned,304117,,POINT (724513.059527635 4438041.637670141)
40.21539,-102.20421,Omimex Petroleum Bond Claim,_Planned,304672,125-08845,POINT (737912.1593469562 4455413.253376069)
40.19691,-102.22331,Omimex Petroleum Bond Claim,_Planned,304673,125-08846,POINT (736350.8333318764 4453310.595579825)
40.24541,-102.20286,Omimex Petroleum Bond Claim,_Planned,304674,125-08847,POINT (737921.8881960509 4458749.601450853)
40.41414,-102.37407,Omimex Petroleum Bond Claim,_Planned,304701,125-08887,POINT (722801.185010909 4477035.627176711)
40.419563,-102.379951,Omimex Petroleum Bond Claim,_Planned,304702,125-08888,POINT (722284.2843341888 4477622.85041333)
40.22243,-102.21417,Omimex Petroleum Bond Claim,_Planned,304804,125-09004,POINT (737039.9281536381 4456168.129068891)
40.21187,-102.20413,Omimex Petroleum Bond Claim,_Planned,304805,125-09006,POINT (737931.2894345525 4455022.689848506)
40.18594,-102.21554,Omimex Petroleum Bond Claim,_Planned,304806,125-09008,POINT (737050.5253879018 4452113.484713897)
40.27482,-102.21367,Omimex Petroleum Bond Claim,_Planned,304807,125-09009,POINT (736899.5851544687 4461985.641669842)
40.2506,-102.21878,Omimex Petroleum Bond Claim,_Planned,304809,125-09013,POINT (736549.4865008036 4459283.150738111)
40.26104,-102.22503,Omimex Petroleum Bond Claim,_Planned,304841,125-09054,POINT (735981.5371452458 4460425.497347927)
40.26191,-102.20969,Omimex Petroleum Bond Claim,_Planned,304842,125-09055,POINT (737283.1689418915 4460563.064456261)
40.2026,-102.22768,Omimex Petroleum Bond Claim,_Planned,304867,125-09083,POINT (735959.0680065461 4453930.640144255)
40.25691,-102.23031,Omimex Petroleum Bond Claim,_Planned,304873,125-09090,POINT (735546.8059054932 4459952.944362734)
40.2711,-102.19224,Omimex Petroleum Bond Claim,_Planned,304889,125-09106,POINT (738734.9425463094 4461630.20998302)
40.24753,-102.22377,Omimex Petroleum Bond Claim,_Planned,304890,125-09107,POINT (736135.6979976641 4458929.017690565)
40.24766,-102.22755,Omimex Petroleum Bond Claim,_Planned,304891,125-09108,POINT (735813.6919530303 4458933.382225895)
40.23154,-102.20593,Omimex Petroleum Bond Claim,_Planned,304892,125-09109,POINT (737709.2670004069 4457201.558095984)
40.19974,-102.21837,Omimex Petroleum Bond Claim,_Planned,304893,125-09111,POINT (736761.5274740661 4453637.9472490465)
40.20111,-102.22319,Omimex Petroleum Bond Claim,_Planned,304894,125-09112,POINT (736346.4521591837 4453777.18265938)
40.25607,-102.19695,Omimex Petroleum Bond Claim,_Planned,304897,125-09115,POINT (738387.2143939062 4459948.931631031)
40.255,-102.21187,Omimex Petroleum Bond Claim,_Planned,304898,125-09116,POINT (737121.9043572708 4459790.098581161)
40.23637,-102.21399,Omimex Petroleum Bond Claim,_Planned,304899,125-09117,POINT (737006.6067072224 4457716.182006208)
40.22636,-102.22061,Omimex Petroleum Bond Claim,_Planned,304900,125-09119,POINT (736478.2126370477 4456587.222707669)
40.26461,-102.20115,Omimex Petroleum Bond Claim,_Planned,304901,125-09120,POINT (738000.02083037 4460885.7247851845)
40.26584,-102.19045,Omimex Petroleum Bond Claim,_Planned,304903,125-09122,POINT (738905.6843348729 4461051.084860424)
40.2581,-102.21361,Omimex Petroleum Bond Claim,_Planned,304935,125-09169,POINT (736963.0792049284 4460129.595204208)
40.25772,-102.19469,Omimex Petroleum Bond Claim,_Planned,304936,125-09170,POINT (738573.6427005016 4460138.194657262)
40.26226,-102.19515,Omimex Petroleum Bond Claim,_Planned,304937,125-09171,POINT (738518.5590749714 4460640.974629032)
40.22895,-102.21028,Omimex Petroleum Bond Claim,_Planned,304938,125-09172,POINT (737348.185121877 4456902.366755509)
40.19285,-102.22345,Omimex Petroleum Bond Claim,_Planned,304943,125-09178,POINT (736353.0227898654 4452859.4977260595)
40.21003,-102.1642,Omimex Petroleum Bond Claim,_Planned,304944,125-09179,POINT (741336.3672593827 4454926.338864154)
40.22937,-102.20683,Omimex Petroleum Bond Claim,_Planned,304945,125-09180,POINT (737640.2793343018 4456958.238246523)
40.22149,-102.21138,Omimex Petroleum Bond Claim,_Planned,304948,125-09183,POINT (737280.6367192015 4456071.237866056)
40.26173,-102.2054,Omimex Petroleum Bond Claim,_Planned,304950,125-09185,POINT (737648.6616651503 4460554.583040226)
40.25069,-102.22225,Omimex Petroleum Bond Claim,_Planned,305066,125-09319,POINT (736254.0028074846 4459283.882930958)
40.24967,-102.22951,Omimex Petroleum Bond Claim,_Planned,305067,125-09320,POINT (735639.9834725681 4459151.310854289)
40.2542,-102.22869,Omimex Petroleum Bond Claim,_Planned,305068,125-09321,POINT (735694.006634907 4459656.39787192)
40.25197,-102.2141,Omimex Petroleum Bond Claim,_Planned,305069,125-09322,POINT (736942.8018980118 4459447.750354753)
40.50421,-104.78019,Painted Pegasus Bond Claim,_Planned,305624,,POINT (518624.19184641266 4483745.244783278)
40.07136,-104.53922,Goodwin Energy Bond Claim,_Planned,305640,123-23292,POINT (539291.1423039973 4435779.2368367445)
40.309394,-105.132582,Deines Mazza Partnership Bond Claim,_Planned,307125,069-06105,POINT (488734.08122240315 4462106.278673937)
37.105071,-104.338116,Sandoval Land & Cattle Bond Claim,_Planned,307258,071-06054,POINT (558811.0614485348 4106733.276949841)
37.119925,-104.335303,Natural Resource Group Bond Claim,_Planned,307903,071-07232,POINT (559049.4754641504 4108382.8869373174)
37.10919,-104.3559,Natural Resource Group Bond Claim,_Planned,307905,071-07235,POINT (557227.7635663863 4107179.3621144034)
37.03089,-104.47533,Presco Inc Bond Claim,_Planned,308385,,POINT (546664.3626316418 4098427.7839811784)
37.06799,-104.49287,Presco Inc Bond Claim,_Planned,308389,,POINT (545082.3875636257 4102535.0267775566)
37.109281,-104.339401,Natural Resource Group Bond Claim,_Planned,309370,071-09451,POINT (558693.6337497301 4107199.5279360223)
37.271806,-104.47395,KCPI Bond Claim,_Planned,309380,,POINT (546638.9037652591 4125155.0484694904)
37.115536,-104.338872,Natural Resource Group Bond Claim,_Planned,309522,071-09644,POINT (558735.804035123 4107893.7683871994)
37.102948,-104.351279,Natural Resource Group Bond Claim,_Planned,309530,071-09652,POINT (557643.0707139313 4106489.687001153)
39.03298,-103.37013,Abilene Perfect Energy Bond Claim,_Planned,309600,073-06164,POINT (641071.7383427605 4321700.241260118)
40.656276,-104.208324,Phoenix Resources Bond Claim,_Planned,310112,,POINT (566926.1739258834 4500902.832188353)
40.4241,-102.30988,Omimex Petroleum Bond Claim,_Planned,310952,125-11345,POINT (728214.4381827423 4478305.305940426)
40.38916,-102.31091,Omimex Petroleum Bond Claim,_Planned,311027,125-11420,POINT (728245.1441498405 4474423.6827602)
40.773315,-103.211597,Arco - Sindt #4 Lease,_Planned,312213,,POINT (650925.2100522926 4515131.914056459)
39.182232,-108.127074,Dole & Associates Bond Claim,_Planned,312438,077-08206,POINT (229889.81117828668 4341658.864527296)
40.82465,-107.92279,Wolverine Bond Claim,_Planned,312912,081-06179,POINT (253522.86583890946 4523403.667840134)
40.83664,-107.94029,Wolverine Bond Claim,_Planned,312922,081-06202,POINT (252091.61753511548 4524784.301905347)
40.81604,-107.9204,Wolverine Bond Claim,_Planned,312929,081-06238,POINT (253692.5598913762 4522440.998106276)
40.79627,-107.49438,X Field Bond Claim,_Planned,312947,081-06341,POINT (289564.3588687066 4519135.4025579365)
40.81748,-107.92231,Wolverine Bond Claim,_Planned,312964,,POINT (253536.78412482765 4522606.251272988)
40.79556,-107.47443,X Field Bond Claim,_Planned,312966,081-06423,POINT (291245.3486263631 4519008.8606857145)
40.98351,-107.6531,Wolverine Bond Claim,_Planned,313006,,POINT (276803.32940292667 4540316.950195219)
40.96938,-107.63399,Wolverine Bond Claim,_Planned,313007,,POINT (278363.82590512163 4538699.470844245)
40.989939,-107.354303,Entek GRB Bond Claim,_Planned,313359,,POINT (301961.52362478466 4540309.7962152865)
40.552496,-107.826792,Santa Fe Resources Bond Claim,_Planned,313399,081-07439,POINT (260646.62109238622 4492922.253984698)
37.235059,-109.024083,Monument Global Bond Claim,_Planned,313424,,POINT (142978.8902497716 4128542.1084619826)
37.23861,-109.02057,Monument Global Bond Claim,_Planned,313427,083-05151,POINT (143307.47168086004 4128923.0421294663)
37.241979,-109.024553,Monument Global Bond Claim,_Planned,313428,083-05152,POINT (142969.87993725686 4129312.08379809)
37.245659,-109.034003,Monument Global Bond Claim,_Planned,313429,083-05153,POINT (142148.60635654628 4129756.361553026)
37.245719,-109.029473,Monument Global Bond Claim,_Planned,313430,083-05154,POINT (142550.919328199 4129745.87188196)
